Epsilon,Robust Cost,Nominal Cost,Ideal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.37418820307115025,0.19456762857449061,0.10783897496521966,0.25,1.8498795126244243,0.5813922966140427,"Workload(z0=0.09764134234821097, z1=0.05832085052702476, q=0.15969186056627005, w=0.6843459465584942)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.5161904809561417,0.19456762857449061,0.10783897496521966,1,1.8498795126244243,0.5813922966140427,"Workload(z0=0.09764134234821097, z1=0.05832085052702476, q=0.15969186056627005, w=0.6843459465584942)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.7446266597865736,0.19456762857449061,0.10783897496521966,1.75,1.8498795126244243,0.5813922966140427,"Workload(z0=0.09764134234821097, z1=0.05832085052702476, q=0.15969186056627005, w=0.6843459465584942)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.1,0.12799263509871855,0.10792669116853534,0.10783897458136985,0.25,0.4114805555880339,0.07680850476553643,"Workload(z0=0.4626606800126134, z1=0.1044056980772719, q=0.010066069539021356, w=0.42286755237109325)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.1,0.17535032940695708,0.10792669116853534,0.10783897458136985,1,0.4114805555880339,0.07680850476553643,"Workload(z0=0.4626606800126134, z1=0.1044056980772719, q=0.010066069539021356, w=0.42286755237109325)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.1,0.20686004024510593,0.10792669116853534,0.10783897458136985,1.75,0.4114805555880339,0.07680850476553643,"Workload(z0=0.4626606800126134, z1=0.1044056980772719, q=0.010066069539021356, w=0.42286755237109325)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.15000000000000002,0.12203900107420215,0.10804419448006405,0.10783897453865603,0.25,0.17818764502691908,0.010791001396238,"Workload(z0=0.474454709190127, z1=0.03174221060050245, q=0.012503725598482236, w=0.4812993546108884)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.15000000000000002,0.15005223420135788,0.10804419448006405,0.10783897453865603,1,0.17818764502691908,0.010791001396238,"Workload(z0=0.474454709190127, z1=0.03174221060050245, q=0.012503725598482236, w=0.4812993546108884)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.15000000000000002,0.16939736917459036,0.10804419448006405,0.10783897453865603,1.75,0.17818764502691908,0.010791001396238,"Workload(z0=0.474454709190127, z1=0.03174221060050245, q=0.012503725598482236, w=0.4812993546108884)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.2,0.15170705864453168,0.13000813587579382,0.10783897515674401,0.25,0.13390466457236058,0.18034168775884785,"Workload(z0=0.48540670080966863, z1=0.15582464592938677, q=0.044859367650034315, w=0.31390928561091036)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.2,0.18616533905046603,0.13000813587579382,0.10783897515674401,1,0.13390466457236058,0.18034168775884785,"Workload(z0=0.48540670080966863, z1=0.15582464592938677, q=0.044859367650034315, w=0.31390928561091036)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.2,0.20142034959909666,0.13000813587579382,0.10783897515674401,1.75,0.13390466457236058,0.18034168775884785,"Workload(z0=0.48540670080966863, z1=0.15582464592938677, q=0.044859367650034315, w=0.31390928561091036)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.25,0.11645884852039043,0.10785003666011427,0.1078389748614072,0.25,0.12679022291877787,0.011741198989363186,"Workload(z0=0.4938855680918414, z1=0.032882019140089605, q=0.009735947816095275, w=0.46349646495197355)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.25,0.13741305074398688,0.10785003666011427,0.1078389748614072,1,0.12679022291877787,0.011741198989363186,"Workload(z0=0.4938855680918414, z1=0.032882019140089605, q=0.009735947816095275, w=0.46349646495197355)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.25,0.15083818433463603,0.10785003666011427,0.1078389748614072,1.75,0.12679022291877787,0.011741198989363186,"Workload(z0=0.4938855680918414, z1=0.032882019140089605, q=0.009735947816095275, w=0.46349646495197355)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.3,0.14880670364074577,0.13021663910090836,0.10783897460015335,0.25,0.06480425417427318,0.038041612412666743,"Workload(z0=0.4573856117967457, z1=0.01345427904552925, q=0.06436702262130596, w=0.46479308653641904)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.3,0.17039207527667372,0.13021663910090836,0.10783897460015335,1,0.06480425417427318,0.038041612412666743,"Workload(z0=0.4573856117967457, z1=0.01345427904552925, q=0.06436702262130596, w=0.46479308653641904)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.3,0.179767579245806,0.13021663910090836,0.10783897460015335,1.75,0.06480425417427318,0.038041612412666743,"Workload(z0=0.4573856117967457, z1=0.01345427904552925, q=0.06436702262130596, w=0.46479308653641904)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.35000000000000003,0.1410366882522864,0.1265274940681913,0.10783897534553158,0.25,0.052474662671750764,0.03408834562043017,"Workload(z0=0.43713996350681267, z1=0.010145499213919731, q=0.058693988176230436, w=0.4940205491030371)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.35000000000000003,0.15753673934253065,0.1265274940681913,0.10783897534553158,1,0.052474662671750764,0.03408834562043017,"Workload(z0=0.43713996350681267, z1=0.010145499213919731, q=0.058693988176230436, w=0.4940205491030371)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.35000000000000003,0.16957091195524157,0.1265274940681913,0.10783897534553158,1.75,0.052474662671750764,0.03408834562043017,"Workload(z0=0.43713996350681267, z1=0.010145499213919731, q=0.058693988176230436, w=0.4940205491030371)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.4,0.11242071952100448,0.10784036671279168,0.10783897471797937,0.25,0.05693981688843672,7.453434052093547e-05,"Workload(z0=0.496048539034691, z1=0.009994503038929289, q=0.009994503038929289, w=0.48396245488745054)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.4,0.12324145597149944,0.10784036671279168,0.10783897471797937,1,0.05693981688843672,7.453434052093547e-05,"Workload(z0=0.496048539034691, z1=0.009994503038929289, q=0.009994503038929289, w=0.48396245488745054)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.4,0.13155899022232864,0.10784036671279168,0.10783897471797937,1.75,0.05693981688843672,7.453434052093547e-05,"Workload(z0=0.496048539034691, z1=0.009994503038929289, q=0.009994503038929289, w=0.48396245488745054)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.45,0.11272715370921507,0.10836861411135965,0.10783897468616327,0.25,0.03596999301426511,0.005669413528363303,"Workload(z0=0.4567856074233586, z1=0.02054583000582057, q=0.014614990641458677, w=0.5080535719293621)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.45,0.1219177695193408,0.10836861411135965,0.10783897468616327,1,0.03596999301426511,0.005669413528363303,"Workload(z0=0.4567856074233586, z1=0.02054583000582057, q=0.014614990641458677, w=0.5080535719293621)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.45,0.12472331551121403,0.10836861411135965,0.10783897468616327,1.75,0.03596999301426511,0.005669413528363303,"Workload(z0=0.4567856074233586, z1=0.02054583000582057, q=0.014614990641458677, w=0.5080535719293621)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.5,0.1230654756126355,0.11715441776768898,0.10783897473128404,0.25,0.03125891825482674,0.06569966459165599,"Workload(z0=0.47456291241862447, z1=0.07905335447299904, q=0.032218875385751286, w=0.4141648577226252)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.5,0.13402647610987212,0.11715441776768898,0.10783897473128404,1,0.03125891825482674,0.06569966459165599,"Workload(z0=0.47456291241862447, z1=0.07905335447299904, q=0.032218875385751286, w=0.4141648577226252)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.5,0.14215925789029696,0.11715441776768898,0.10783897473128404,1.75,0.03125891825482674,0.06569966459165599,"Workload(z0=0.47456291241862447, z1=0.07905335447299904, q=0.032218875385751286, w=0.4141648577226252)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.55,0.10896690488463914,0.1078738345920831,0.1078389749052433,0.25,0.027113657872030343,0.060652762295366654,"Workload(z0=0.4759444151794684, z1=0.08772777342496246, q=0.00885187134506303, w=0.4274759400505061)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.55,0.11435716118222597,0.1078738345920831,0.1078389749052433,1,0.027113657872030343,0.060652762295366654,"Workload(z0=0.4759444151794684, z1=0.08772777342496246, q=0.00885187134506303, w=0.4274759400505061)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.55,0.11929169871875821,0.1078738345920831,0.1078389749052433,1.75,0.027113657872030343,0.060652762295366654,"Workload(z0=0.4759444151794684, z1=0.08772777342496246, q=0.00885187134506303, w=0.4274759400505061)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.6000000000000001,0.11113591338543452,0.1084319081415744,0.10783897453199787,0.25,0.020013630132133906,0.00912953598181867,"Workload(z0=0.4489515657290122, z1=0.025213174623877867, q=0.014883304595682486, w=0.5109519550514275)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
