Epsilon,Robust Cost,Nominal Cost,Ideal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.8726218870940593,0.8352840857029308,0.7355280530372567,0.25,1.0115236949232178,0.6949452477447698,"Workload(z0=0.007973090212412562, z1=0.35545381100465073, q=0.19267341959664275, w=0.44389967918629386)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.8352840857029308,0.7355280530372567,1,1.0115236949232178,0.6949452477447698,"Workload(z0=0.007973090212412562, z1=0.35545381100465073, q=0.19267341959664275, w=0.44389967918629386)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.8352840857029308,0.7355280530372567,1.75,1.0115236949232178,0.6949452477447698,"Workload(z0=0.007973090212412562, z1=0.35545381100465073, q=0.19267341959664275, w=0.44389967918629386)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7414639191156385,0.736287510657251,0.7355280529579202,0.25,0.6322304323909902,0.013955913820732024,"Workload(z0=0.31936654798846187, z1=0.24837814820826998, q=0.22797680615162208, w=0.204278497651646)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8073097826640416,0.736287510657251,0.7355280529579202,1,0.6322304323909902,0.013955913820732024,"Workload(z0=0.31936654798846187, z1=0.24837814820826998, q=0.22797680615162208, w=0.204278497651646)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.736287510657251,0.7355280529579202,1.75,0.6322304323909902,0.013955913820732024,"Workload(z0=0.31936654798846187, z1=0.24837814820826998, q=0.22797680615162208, w=0.204278497651646)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.7668887051101769,0.8195790000873007,0.735528053008837,0.25,0.16022022962759347,0.23708762321719784,"Workload(z0=0.3020074838096551, z1=0.35260810518079827, q=0.04774085181678088, w=0.29764355919276564)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.735562789206752,0.8195790000873007,0.735528053008837,1,0.16022022962759347,0.23708762321719784,"Workload(z0=0.3020074838096551, z1=0.35260810518079827, q=0.04774085181678088, w=0.29764355919276564)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.7358823853837436,0.8195790000873007,0.735528053008837,1.75,0.16022022962759347,0.23708762321719784,"Workload(z0=0.3020074838096551, z1=0.35260810518079827, q=0.04774085181678088, w=0.29764355919276564)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7412920386825447,0.7355837371107764,0.7355280528850298,0.25,0.24288948067576185,0.0009505766483731866,"Workload(z0=0.2396117861199074, z1=0.25118289102444463, q=0.2674972190698871, w=0.24170810378576088)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7638847191464494,0.7355837371107764,0.7355280528850298,1,0.24288948067576185,0.0009505766483731866,"Workload(z0=0.2396117861199074, z1=0.25118289102444463, q=0.2674972190698871, w=0.24170810378576088)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7934608886800486,0.7355837371107764,0.7355280528850298,1.75,0.24288948067576185,0.0009505766483731866,"Workload(z0=0.2396117861199074, z1=0.25118289102444463, q=0.2674972190698871, w=0.24170810378576088)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7367038072144393,0.735620177957916,0.7355280528716558,0.25,0.04923320935992817,0.011552332544413155,"Workload(z0=0.21520417950685586, z1=0.31378481936187236, q=0.2506226768477627, w=0.22038832428350913)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7409099930869738,0.735620177957916,0.7355280528716558,1,0.04923320935992817,0.011552332544413155,"Workload(z0=0.21520417950685586, z1=0.31378481936187236, q=0.2506226768477627, w=0.22038832428350913)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7451093030195269,0.735620177957916,0.7355280528716558,1.75,0.04923320935992817,0.011552332544413155,"Workload(z0=0.21520417950685586, z1=0.31378481936187236, q=0.2506226768477627, w=0.22038832428350913)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7357071782483251,0.7355286504687905,0.7355280530569372,0.25,0.028200830349527098,0.007708076955462967,"Workload(z0=0.269176329624602, z1=0.19905657581114422, q=0.26380308379354866, w=0.26796401077070536)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7372199756960071,0.7355286504687905,0.7355280530569372,1,0.028200830349527098,0.007708076955462967,"Workload(z0=0.269176329624602, z1=0.19905657581114422, q=0.26380308379354866, w=0.26796401077070536)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7386934500831334,0.7355286504687905,0.7355280530569372,1.75,0.028200830349527098,0.007708076955462967,"Workload(z0=0.269176329624602, z1=0.19905657581114422, q=0.26380308379354866, w=0.26796401077070536)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.7355329657134649,0.7357437539174674,0.7355280531409806,0.25,0.014726186495109386,0.005958592363655719,"Workload(z0=0.262071227234815, z1=0.2872513786458961, q=0.21483791222960497, w=0.2358394818896839)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.735685395247424,0.7357437539174674,0.7355280531409806,1,0.014726186495109386,0.005958592363655719,"Workload(z0=0.262071227234815, z1=0.2872513786458961, q=0.21483791222960497, w=0.2358394818896839)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.35000000000000003,0.736165639161471,0.7357437539174674,0.7355280531409806,1.75,0.014726186495109386,0.005958592363655719,"Workload(z0=0.262071227234815, z1=0.2872513786458961, q=0.21483791222960497, w=0.2358394818896839)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.4,0.7362756394350891,0.7357682804401409,0.7355280528468618,0.25,0.012633639636373236,0.029976687334894003,"Workload(z0=0.2490577809879262, z1=0.2546790454222494, q=0.3314636446727017, w=0.16479952891712277)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.4,0.7368223672757453,0.7357682804401409,0.7355280528468618,1,0.012633639636373236,0.029976687334894003,"Workload(z0=0.2490577809879262, z1=0.2546790454222494, q=0.3314636446727017, w=0.16479952891712277)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.4,0.7383122489452653,0.7357682804401409,0.7355280528468618,1.75,0.012633639636373236,0.029976687334894003,"Workload(z0=0.2490577809879262, z1=0.2546790454222494, q=0.3314636446727017, w=0.16479952891712277)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.45,0.7355298875887641,0.7355598060390054,0.7355280528717714,0.25,0.024617808419023796,0.003226267324889842,"Workload(z0=0.26255616685388994, z1=0.2681489885530771, q=0.2516064459837482, w=0.21768839860928477)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.45,0.7366857137458693,0.7355598060390054,0.7355280528717714,1,0.024617808419023796,0.003226267324889842,"Workload(z0=0.26255616685388994, z1=0.2681489885530771, q=0.2516064459837482, w=0.21768839860928477)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.45,0.7375519836398284,0.7355598060390054,0.7355280528717714,1.75,0.024617808419023796,0.003226267324889842,"Workload(z0=0.26255616685388994, z1=0.2681489885530771, q=0.2516064459837482, w=0.21768839860928477)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.5,0.7355828379083755,0.7355849893108937,0.7355280531519348,0.25,0.026774341249274667,0.001964628104260723,"Workload(z0=0.25565762142427423, z1=0.2729422379818415, q=0.23209183226938554, w=0.23930830832449884)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.5,0.7363164946515655,0.7355849893108937,0.7355280531519348,1,0.026774341249274667,0.001964628104260723,"Workload(z0=0.25565762142427423, z1=0.2729422379818415, q=0.23209183226938554, w=0.23930830832449884)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.5,0.7379091713733972,0.7355849893108937,0.7355280531519348,1.75,0.026774341249274667,0.001964628104260723,"Workload(z0=0.25565762142427423, z1=0.2729422379818415, q=0.23209183226938554, w=0.23930830832449884)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.55,0.7359182617227263,0.7355292307979042,0.7355280531044361,0.25,0.038723696867164814,0.0011378074488201746,"Workload(z0=0.2573108492328136, z1=0.23152506755023847, q=0.2626613382989711, w=0.24850274491797683)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.55,0.7375618487926328,0.7355292307979042,0.7355280531044361,1,0.038723696867164814,0.0011378074488201746,"Workload(z0=0.2573108492328136, z1=0.23152506755023847, q=0.2626613382989711, w=0.24850274491797683)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.55,0.7396453182811548,0.7355292307979042,0.7355280531044361,1.75,0.038723696867164814,0.0011378074488201746,"Workload(z0=0.2573108492328136, z1=0.23152506755023847, q=0.2626613382989711, w=0.24850274491797683)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
