Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho Multiplier,Rho (True)
0.05,0.5375186191717367,0.5183818724173097,1.9501639074721273,0.25,0.0029931782980242823
0.05,0.6445547314469225,0.5183818724173097,1.9501639074721273,0.5,0.0029931782980242823
0.05,0.7619646372736388,0.5183818724173097,1.9501639074721273,0.75,0.0029931782980242823
0.05,0.839156687260943,0.5183818724173097,1.9501639074721273,1.0,0.0029931782980242823
0.05,0.8706255164804537,0.5183818724173097,1.9501639074721273,1.25,0.0029931782980242823
0.05,0.8706255164804536,0.5183818724173097,1.9501639074721273,1.5,0.0029931782980242823
0.05,0.5279328780977305,0.5183818724173097,1.9501639074721273,1.75,0.0029931782980242823
0.1,0.5252582196689927,0.5183818724173097,0.2806610801107964,0.25,0.057768674016569356
0.1,0.532017434521141,0.5183818724173097,0.2806610801107964,0.5,0.057768674016569356
0.1,0.5381080707933268,0.5183818724173097,0.2806610801107964,0.75,0.057768674016569356
0.1,0.5506249640854218,0.5183818724173097,0.2806610801107964,1.0,0.057768674016569356
0.1,0.5604427139688584,0.5183818724173097,0.2806610801107964,1.25,0.057768674016569356
0.1,0.5777392943388231,0.5183818724173097,0.2806610801107964,1.5,0.057768674016569356
0.1,0.5874948842205396,0.5183818724173097,0.2806610801107964,1.75,0.057768674016569356
0.15000000000000002,0.5172669019535678,0.5183818724173097,0.08522851415699079,0.25,0.0615528173453708
0.15000000000000002,0.5170390907674632,0.5183818724173097,0.08522851415699079,0.5,0.0615528173453708
0.15000000000000002,0.5183369521423767,0.5183818724173097,0.08522851415699079,0.75,0.0615528173453708
0.15000000000000002,0.5209693867204395,0.5183818724173097,0.08522851415699079,1.0,0.0615528173453708
0.15000000000000002,0.5223485435824,0.5183818724173097,0.08522851415699079,1.25,0.0615528173453708
0.15000000000000002,0.521183633050276,0.5183818724173097,0.08522851415699079,1.5,0.0615528173453708
0.15000000000000002,0.5237628603069838,0.5183818724173097,0.08522851415699079,1.75,0.0615528173453708
0.2,0.5175692662869001,0.5183818724173097,0.06694934532394693,0.25,0.08180270656330554
0.2,0.5166938097218885,0.5183818724173097,0.06694934532394693,0.5,0.08180270656330554
0.2,0.5180346446752946,0.5183818724173097,0.06694934532394693,0.75,0.08180270656330554
0.2,0.5205922061809714,0.5183818724173097,0.06694934532394693,1.0,0.08180270656330554
0.2,0.5210840982052484,0.5183818724173097,0.06694934532394693,1.25,0.08180270656330554
0.2,0.5222726355291547,0.5183818724173097,0.06694934532394693,1.5,0.08180270656330554
0.2,0.5233061474178402,0.5183818724173097,0.06694934532394693,1.75,0.08180270656330554
0.25,0.5309463376522507,0.5183818724173097,0.15368651896926316,0.25,0.1559900435001719
0.25,0.5398119823183308,0.5183818724173097,0.15368651896926316,0.5,0.1559900435001719
0.25,0.5434381422259864,0.5183818724173097,0.15368651896926316,0.75,0.1559900435001719
0.25,0.5531797365451276,0.5183818724173097,0.15368651896926316,1.0,0.1559900435001719
0.25,0.5606987645553374,0.5183818724173097,0.15368651896926316,1.25,0.1559900435001719
0.25,0.5708104161416023,0.5183818724173097,0.15368651896926316,1.5,0.1559900435001719
0.25,0.5773791507779756,0.5183818724173097,0.15368651896926316,1.75,0.1559900435001719
0.3,0.515487155935766,0.5183818724173097,0.07938265569281545,0.25,0.017268836153155796
0.3,0.5160467905861108,0.5183818724173097,0.07938265569281545,0.5,0.017268836153155796
0.3,0.5159226077071161,0.5183818724173097,0.07938265569281545,0.75,0.017268836153155796
0.3,0.5159235742806768,0.5183818724173097,0.07938265569281545,1.0,0.017268836153155796
0.3,0.5156083097983314,0.5183818724173097,0.07938265569281545,1.25,0.017268836153155796
0.3,0.5155559389359053,0.5183818724173097,0.07938265569281545,1.5,0.017268836153155796
0.3,0.5168959664261319,0.5183818724173097,0.07938265569281545,1.75,0.017268836153155796
0.35000000000000003,0.5133252664371962,0.5183818724173097,0.03139686286024218,0.25,0.002846442798478507
0.35000000000000003,0.5133385870516662,0.5183818724173097,0.03139686286024218,0.5,0.002846442798478507
0.35000000000000003,0.513112272512461,0.5183818724173097,0.03139686286024218,0.75,0.002846442798478507
0.35000000000000003,0.5137726791652772,0.5183818724173097,0.03139686286024218,1.0,0.002846442798478507
0.35000000000000003,0.5131552671754284,0.5183818724173097,0.03139686286024218,1.25,0.002846442798478507
0.35000000000000003,0.5132011162699804,0.5183818724173097,0.03139686286024218,1.5,0.002846442798478507
0.35000000000000003,0.5137043156120866,0.5183818724173097,0.03139686286024218,1.75,0.002846442798478507
0.4,0.5154774718446016,0.5183818724173097,0.0620119515753607,0.25,0.019149695776102607
0.4,0.5153389845364459,0.5183818724173097,0.0620119515753607,0.5,0.019149695776102607
0.4,0.5160654695213319,0.5183818724173097,0.0620119515753607,0.75,0.019149695776102607
0.4,0.5157624104556233,0.5183818724173097,0.0620119515753607,1.0,0.019149695776102607
0.4,0.5159737757266936,0.5183818724173097,0.0620119515753607,1.25,0.019149695776102607
0.4,0.5157127044811598,0.5183818724173097,0.0620119515753607,1.5,0.019149695776102607
0.4,0.5140709546090863,0.5183818724173097,0.0620119515753607,1.75,0.019149695776102607
0.45,0.5132607330613098,0.5183818724173097,0.09129930709748721,0.25,0.0006073851782900777
0.45,0.5135196019175263,0.5183818724173097,0.09129930709748721,0.5,0.0006073851782900777
0.45,0.5137163673243671,0.5183818724173097,0.09129930709748721,0.75,0.0006073851782900777
0.45,0.514160552574003,0.5183818724173097,0.09129930709748721,1.0,0.0006073851782900777
0.45,0.5137602917592428,0.5183818724173097,0.09129930709748721,1.25,0.0006073851782900777
0.45,0.5150293481283522,0.5183818724173097,0.09129930709748721,1.5,0.0006073851782900777
0.45,0.5154825158422007,0.5183818724173097,0.09129930709748721,1.75,0.0006073851782900777
0.5,0.5137453791885984,0.5183818724173097,0.0387138653852452,0.25,0.004240834858856602
0.5,0.5140112560734015,0.5183818724173097,0.0387138653852452,0.5,0.004240834858856602
0.5,0.5143692712288889,0.5183818724173097,0.0387138653852452,0.75,0.004240834858856602
0.5,0.5146894701941598,0.5183818724173097,0.0387138653852452,1.0,0.004240834858856602
0.5,0.5137707957012909,0.5183818724173097,0.0387138653852452,1.25,0.004240834858856602
0.5,0.5141434356080431,0.5183818724173097,0.0387138653852452,1.5,0.004240834858856602
0.5,0.5146461008785614,0.5183818724173097,0.0387138653852452,1.75,0.004240834858856602
0.55,0.5131018454031098,0.5183818724173097,0.013374637251366882,0.25,0.0029933219998576578
0.55,0.5130535511291412,0.5183818724173097,0.013374637251366882,0.5,0.0029933219998576578
0.55,0.5130569585943273,0.5183818724173097,0.013374637251366882,0.75,0.0029933219998576578
0.55,0.5130641874188677,0.5183818724173097,0.013374637251366882,1.0,0.0029933219998576578
0.55,0.5132882269507153,0.5183818724173097,0.013374637251366882,1.25,0.0029933219998576578
0.55,0.5133243265072548,0.5183818724173097,0.013374637251366882,1.5,0.0029933219998576578
0.55,0.5133783659637603,0.5183818724173097,0.013374637251366882,1.75,0.0029933219998576578
0.6000000000000001,0.5131868380429341,0.5183818724173097,0.030649194574772762,0.25,0.003303173992263753
0.6000000000000001,0.5132961775911742,0.5183818724173097,0.030649194574772762,0.5,0.003303173992263753
0.6000000000000001,0.513405365453253,0.5183818724173097,0.030649194574772762,0.75,0.003303173992263753
0.6000000000000001,0.5135088426599661,0.5183818724173097,0.030649194574772762,1.0,0.003303173992263753
0.6000000000000001,0.5136332733901261,0.5183818724173097,0.030649194574772762,1.25,0.003303173992263753
0.6000000000000001,0.5137464161900747,0.5183818724173097,0.030649194574772762,1.5,0.003303173992263753
0.6000000000000001,0.5138727922986812,0.5183818724173097,0.030649194574772762,1.75,0.003303173992263753
0.6500000000000001,0.5135492980028683,0.5183818724173097,0.019030244535907827,0.25,0.011670076417832001
0.6500000000000001,0.5132408510014367,0.5183818724173097,0.019030244535907827,0.5,0.011670076417832001
0.6500000000000001,0.51368330356151,0.5183818724173097,0.019030244535907827,0.75,0.011670076417832001
0.6500000000000001,0.5140168294948748,0.5183818724173097,0.019030244535907827,1.0,0.011670076417832001
0.6500000000000001,0.5134533505165356,0.5183818724173097,0.019030244535907827,1.25,0.011670076417832001
0.6500000000000001,0.5139989447755845,0.5183818724173097,0.019030244535907827,1.5,0.011670076417832001
0.6500000000000001,0.5133763737334723,0.5183818724173097,0.019030244535907827,1.75,0.011670076417832001
0.7000000000000001,0.5131056275123845,0.5183818724173097,0.029391653885610745,0.25,0.00021231492931779775
0.7000000000000001,0.5131941023216199,0.5183818724173097,0.029391653885610745,0.5,0.00021231492931779775
0.7000000000000001,0.5131328653053774,0.5183818724173097,0.029391653885610745,0.75,0.00021231492931779775
0.7000000000000001,0.5133525823306423,0.5183818724173097,0.029391653885610745,1.0,0.00021231492931779775
0.7000000000000001,0.51344815170412,0.5183818724173097,0.029391653885610745,1.25,0.00021231492931779775
0.7000000000000001,0.5135130842918274,0.5183818724173097,0.029391653885610745,1.5,0.00021231492931779775
0.7000000000000001,0.5130565557241653,0.5183818724173097,0.029391653885610745,1.75,0.00021231492931779775
0.7500000000000001,0.5133780134432825,0.5183818724173097,0.027085470502319717,0.25,0.001485932457637576
0.7500000000000001,0.5135228731697913,0.5183818724173097,0.027085470502319717,0.5,0.001485932457637576
0.7500000000000001,0.5131945694164688,0.5183818724173097,0.027085470502319717,0.75,0.001485932457637576
0.7500000000000001,0.5137265182126798,0.5183818724173097,0.027085470502319717,1.0,0.001485932457637576
0.7500000000000001,0.5139675459558226,0.5183818724173097,0.027085470502319717,1.25,0.001485932457637576
0.7500000000000001,0.5132401077641142,0.5183818724173097,0.027085470502319717,1.5,0.001485932457637576
0.7500000000000001,0.5133931786831837,0.5183818724173097,0.027085470502319717,1.75,0.001485932457637576
0.8,0.5131558320760845,0.5183818724173097,0.06046633011541237,0.25,0.0007495623270073264
0.8,0.5133028629252784,0.5183818724173097,0.06046633011541237,0.5,0.0007495623270073264
0.8,0.5134647500132246,0.5183818724173097,0.06046633011541237,0.75,0.0007495623270073264
0.8,0.5135693925223384,0.5183818724173097,0.06046633011541237,1.0,0.0007495623270073264
0.8,0.5130673992918284,0.5183818724173097,0.06046633011541237,1.25,0.0007495623270073264
0.8,0.5140544071938211,0.5183818724173097,0.06046633011541237,1.5,0.0007495623270073264
0.8,0.5142734987325103,0.5183818724173097,0.06046633011541237,1.75,0.0007495623270073264
0.8500000000000001,0.5130955240903297,0.5183818724173097,0.019392595002625065,0.25,0.001178465142386325
0.8500000000000001,0.5133710259276762,0.5183818724173097,0.019392595002625065,0.5,0.001178465142386325
0.8500000000000001,0.5134716819611849,0.5183818724173097,0.019392595002625065,0.75,0.001178465142386325
0.8500000000000001,0.5135663527015241,0.5183818724173097,0.019392595002625065,1.0,0.001178465142386325
0.8500000000000001,0.5136576361003006,0.5183818724173097,0.019392595002625065,1.25,0.001178465142386325
0.8500000000000001,0.5137413387173762,0.5183818724173097,0.019392595002625065,1.5,0.001178465142386325
0.8500000000000001,0.5138374091147438,0.5183818724173097,0.019392595002625065,1.75,0.001178465142386325
0.9000000000000001,0.5135336197878235,0.5183818724173097,0.03913187196356718,0.25,0.004090145718770552
0.9000000000000001,0.5134723723013751,0.5183818724173097,0.03913187196356718,0.5,0.004090145718770552
0.9000000000000001,0.5142212998932763,0.5183818724173097,0.03913187196356718,0.75,0.004090145718770552
0.9000000000000001,0.5144413654049195,0.5183818724173097,0.03913187196356718,1.0,0.004090145718770552
0.9000000000000001,0.5141459545119618,0.5183818724173097,0.03913187196356718,1.25,0.004090145718770552
0.9000000000000001,0.5141969245136506,0.5183818724173097,0.03913187196356718,1.5,0.004090145718770552
0.9000000000000001,0.5148149812694722,0.5183818724173097,0.03913187196356718,1.75,0.004090145718770552
0.9500000000000001,0.5130507987397883,0.5183818724173097,0.02308373833909746,0.25,0.0003737445539224683
0.9500000000000001,0.5131019246241165,0.5183818724173097,0.02308373833909746,0.5,0.0003737445539224683
0.9500000000000001,0.5132020909144369,0.5183818724173097,0.02308373833909746,0.75,0.0003737445539224683
0.9500000000000001,0.5131754126808952,0.5183818724173097,0.02308373833909746,1.0,0.0003737445539224683
0.9500000000000001,0.5133192930845262,0.5183818724173097,0.02308373833909746,1.25,0.0003737445539224683
0.9500000000000001,0.5133891413388556,0.5183818724173097,0.02308373833909746,1.5,0.0003737445539224683
0.9500000000000001,0.5133070418837435,0.5183818724173097,0.02308373833909746,1.75,0.0003737445539224683
1.0,0.5130712521950422,0.5183818724173097,0.027837744179166797,0.25,0.00030157079323667093
1.0,0.5132785991336671,0.5183818724173097,0.027837744179166797,0.5,0.00030157079323667093
1.0,0.5131422419044015,0.5183818724173097,0.027837744179166797,0.75,0.00030157079323667093
1.0,0.5134832445446865,0.5183818724173097,0.027837744179166797,1.0,0.00030157079323667093
1.0,0.5135874932480634,0.5183818724173097,0.027837744179166797,1.25,0.00030157079323667093
1.0,0.513648815757168,0.5183818724173097,0.027837744179166797,1.5,0.00030157079323667093
1.0,0.5138012373366783,0.5183818724173097,0.027837744179166797,1.75,0.00030157079323667093
