Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.9031457944989132,0.8746182577076651,0.25,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8888675580516718,0.8746182577076651,0.5,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8764382589295964,0.8746182577076651,0.75,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8746182577076651,0.8746182577076651,1.0,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8746182577076651,0.8746182577076651,1.25,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8746182577076683,0.8746182577076651,1.5,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.05,0.8746182577076653,0.8746182577076651,1.75,0.535305394634511,1.6222709750734703,"Workload(z0=0.4297144677098361, z1=0.014889826534664623, q=0.5405058792208346, w=0.014889826534664623)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8808372316584359,0.8746182577076651,0.25,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8772111677066083,0.8746182577076651,0.5,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8753922028444305,0.8746182577076651,0.75,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8749407459991629,0.8746182577076651,1.0,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8746182577076651,0.8746182577076651,1.25,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8746182577076651,0.8746182577076651,1.5,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.1,0.8746182577076651,0.8746182577076651,1.75,0.20660725460748586,0.6536992017037146,"Workload(z0=0.015376279604795417, z1=0.5031999120934848, q=0.23231142762718193, w=0.24911238067453775)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8761976430339783,0.8746182577076651,0.25,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8750416559124259,0.8746182577076651,0.5,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8746182577076651,0.8746182577076651,0.75,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8746182577076651,0.8746182577076651,1.0,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8746182577076651,0.8746182577076651,1.25,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8746182577076651,0.8746182577076651,1.5,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
0.15000000000000002,0.8746182577076651,0.8746182577076651,1.75,0.13199732197745395,0.022998956006628518,"Workload(z0=0.04458377068583825, z1=0.009155867441746152, q=0.508401471255204, w=0.4378588906172117)","Workload(z0=0.01, z1=0.01, q=0.49, w=0.49)"
