Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho Multiplier,Rho (True)
0.05,0.885306553953077,0.8718318636928173,1.035889258759859,0.25,0.04893270537003146
0.05,0.9359603650309052,0.8718318636928173,1.035889258759859,0.5,0.04893270537003146
0.05,1.01216020219933,0.8718318636928173,1.035889258759859,0.75,0.04893270537003146
0.05,1.0609718906107726,0.8718318636928173,1.035889258759859,1.0,0.04893270537003146
0.05,1.0609718906107726,0.8718318636928173,1.035889258759859,1.25,0.04893270537003146
0.05,1.0609718906107728,0.8718318636928173,1.035889258759859,1.5,0.04893270537003146
0.05,1.0609718906107728,0.8718318636928173,1.035889258759859,1.75,0.04893270537003146
0.1,1.0609718906107728,0.8718318636928173,1.032214813806843,0.25,0.961529074743574
0.1,1.0609718906107726,0.8718318636928173,1.032214813806843,0.5,0.961529074743574
0.1,1.0609718906107728,0.8718318636928173,1.032214813806843,0.75,0.961529074743574
0.1,1.0609718906107728,0.8718318636928173,1.032214813806843,1.0,0.961529074743574
0.1,1.0609718906107728,0.8718318636928173,1.032214813806843,1.25,0.961529074743574
0.1,1.0609718906107728,0.8718318636928173,1.032214813806843,1.5,0.961529074743574
0.1,1.0609718906094332,0.8718318636928173,1.032214813806843,1.75,0.961529074743574
0.15000000000000002,0.8722883717449503,0.8718318636928173,0.0457468650288189,0.25,0.006552241251579111
0.15000000000000002,0.8722714169296991,0.8718318636928173,0.0457468650288189,0.5,0.006552241251579111
0.15000000000000002,0.8723764094825975,0.8718318636928173,0.0457468650288189,0.75,0.006552241251579111
0.15000000000000002,0.8732470887345215,0.8718318636928173,0.0457468650288189,1.0,0.006552241251579111
0.15000000000000002,0.8743750395768973,0.8718318636928173,0.0457468650288189,1.25,0.006552241251579111
0.15000000000000002,0.8747123120674613,0.8718318636928173,0.0457468650288189,1.5,0.006552241251579111
0.15000000000000002,0.875906407968671,0.8718318636928173,0.0457468650288189,1.75,0.006552241251579111
0.2,0.8886708456995535,0.8718318636928173,0.14499287029424932,0.25,0.47025884948384344
0.2,0.874384326679202,0.8718318636928173,0.14499287029424932,0.5,0.47025884948384344
0.2,0.8731999724195919,0.8718318636928173,0.14499287029424932,0.75,0.47025884948384344
0.2,0.8727078704411466,0.8718318636928173,0.14499287029424932,1.0,0.47025884948384344
0.2,0.8720299477874581,0.8718318636928173,0.14499287029424932,1.25,0.47025884948384344
0.2,0.871847544063164,0.8718318636928173,0.14499287029424932,1.5,0.47025884948384344
0.2,0.8718599523063613,0.8718318636928173,0.14499287029424932,1.75,0.47025884948384344
0.25,0.8762811860251238,0.8718318636928173,0.20578667584195018,0.25,0.16944473565597704
0.25,0.8821513387553593,0.8718318636928173,0.20578667584195018,0.5,0.16944473565597704
0.25,0.8895924083732227,0.8718318636928173,0.20578667584195018,0.75,0.16944473565597704
0.25,0.8975032626735948,0.8718318636928173,0.20578667584195018,1.0,0.16944473565597704
0.25,0.9047735719042646,0.8718318636928173,0.20578667584195018,1.25,0.16944473565597704
0.25,0.9167224091538465,0.8718318636928173,0.20578667584195018,1.5,0.16944473565597704
0.25,0.9282070110532848,0.8718318636928173,0.20578667584195018,1.75,0.16944473565597704
0.3,0.8752891935595588,0.8718318636928173,0.06446944656033317,0.25,0.011346179707274499
0.3,0.8776332207049146,0.8718318636928173,0.06446944656033317,0.5,0.011346179707274499
0.3,0.8824065830700639,0.8718318636928173,0.06446944656033317,0.75,0.011346179707274499
0.3,0.8859030416504305,0.8718318636928173,0.06446944656033317,1.0,0.011346179707274499
0.3,0.8895289942155268,0.8718318636928173,0.06446944656033317,1.25,0.011346179707274499
0.3,0.8942569967006918,0.8718318636928173,0.06446944656033317,1.5,0.011346179707274499
0.3,0.8988730949692004,0.8718318636928173,0.06446944656033317,1.75,0.011346179707274499
0.35000000000000003,0.8725245817038503,0.8718318636928173,0.026762296210331795,0.25,0.0008382943019974421
0.35000000000000003,0.8733527199881698,0.8718318636928173,0.026762296210331795,0.5,0.0008382943019974421
0.35000000000000003,0.8742668554077695,0.8718318636928173,0.026762296210331795,0.75,0.0008382943019974421
0.35000000000000003,0.8753948640068527,0.8718318636928173,0.026762296210331795,1.0,0.0008382943019974421
0.35000000000000003,0.8757697098586511,0.8718318636928173,0.026762296210331795,1.25,0.0008382943019974421
0.35000000000000003,0.8775060389032349,0.8718318636928173,0.026762296210331795,1.5,0.0008382943019974421
0.35000000000000003,0.8775846724967564,0.8718318636928173,0.026762296210331795,1.75,0.0008382943019974421
0.4,0.872576583319691,0.8718318636928173,0.053830538126031724,0.25,0.011467178232177681
0.4,0.8736378442997331,0.8718318636928173,0.053830538126031724,0.5,0.011467178232177681
0.4,0.8718404665954552,0.8718318636928173,0.053830538126031724,0.75,0.011467178232177681
0.4,0.8759289036610456,0.8718318636928173,0.053830538126031724,1.0,0.011467178232177681
0.4,0.8782494598060246,0.8718318636928173,0.053830538126031724,1.25,0.011467178232177681
0.4,0.8794180445087642,0.8718318636928173,0.053830538126031724,1.5,0.011467178232177681
0.4,0.8817857589410509,0.8718318636928173,0.053830538126031724,1.75,0.011467178232177681
0.45,0.87272312164384,0.8718318636928173,0.018818914147069328,0.25,0.006010371519706943
0.45,0.8731121823725748,0.8718318636928173,0.018818914147069328,0.5,0.006010371519706943
0.45,0.8738045068502848,0.8718318636928173,0.018818914147069328,0.75,0.006010371519706943
0.45,0.8749811541525101,0.8718318636928173,0.018818914147069328,1.0,0.006010371519706943
0.45,0.8756971194376684,0.8718318636928173,0.018818914147069328,1.25,0.006010371519706943
0.45,0.8758165779188478,0.8718318636928173,0.018818914147069328,1.5,0.006010371519706943
0.45,0.8763451425031747,0.8718318636928173,0.018818914147069328,1.75,0.006010371519706943
0.5,0.8719025458869525,0.8718318636928173,0.03288328259964801,0.25,0.0121487513004494
0.5,0.871831756181319,0.8718318636928173,0.03288328259964801,0.5,0.0121487513004494
0.5,0.871850376095069,0.8718318636928173,0.03288328259964801,0.75,0.0121487513004494
0.5,0.8722501590121166,0.8718318636928173,0.03288328259964801,1.0,0.0121487513004494
0.5,0.8725198272166697,0.8718318636928173,0.03288328259964801,1.25,0.0121487513004494
0.5,0.872980929666873,0.8718318636928173,0.03288328259964801,1.5,0.0121487513004494
0.5,0.8734019299963067,0.8718318636928173,0.03288328259964801,1.75,0.0121487513004494
0.55,0.8725994017451628,0.8718318636928173,0.04934992422786608,0.25,0.00012394530818745373
0.55,0.8734567706055171,0.8718318636928173,0.04934992422786608,0.5,0.00012394530818745373
0.55,0.8750583240884863,0.8718318636928173,0.04934992422786608,0.75,0.00012394530818745373
0.55,0.8767589089706069,0.8718318636928173,0.04934992422786608,1.0,0.00012394530818745373
0.55,0.8782790894383095,0.8718318636928173,0.04934992422786608,1.25,0.00012394530818745373
0.55,0.8787332300428692,0.8718318636928173,0.04934992422786608,1.5,0.00012394530818745373
0.55,0.8818655729673651,0.8718318636928173,0.04934992422786608,1.75,0.00012394530818745373
0.6000000000000001,0.8728307576002724,0.8718318636928173,0.06036757410219661,0.25,0.004102140979468923
0.6000000000000001,0.8742626174286272,0.8718318636928173,0.06036757410219661,0.5,0.004102140979468923
0.6000000000000001,0.8764065661336061,0.8718318636928173,0.06036757410219661,0.75,0.004102140979468923
0.6000000000000001,0.8776003876746228,0.8718318636928173,0.06036757410219661,1.0,0.004102140979468923
0.6000000000000001,0.879927421985101,0.8718318636928173,0.06036757410219661,1.25,0.004102140979468923
0.6000000000000001,0.8832108810412682,0.8718318636928173,0.06036757410219661,1.5,0.004102140979468923
0.6000000000000001,0.885689271394775,0.8718318636928173,0.06036757410219661,1.75,0.004102140979468923
0.6500000000000001,0.8721659206869932,0.8718318636928173,0.020104139259634418,0.25,0.0010415750413074716
0.6500000000000001,0.8723940770016039,0.8718318636928173,0.020104139259634418,0.5,0.0010415750413074716
0.6500000000000001,0.8730463003571609,0.8718318636928173,0.020104139259634418,0.75,0.0010415750413074716
0.6500000000000001,0.8735675449300285,0.8718318636928173,0.020104139259634418,1.0,0.0010415750413074716
0.6500000000000001,0.8742335238243057,0.8718318636928173,0.020104139259634418,1.25,0.0010415750413074716
0.6500000000000001,0.8740990094654664,0.8718318636928173,0.020104139259634418,1.5,0.0010415750413074716
0.6500000000000001,0.8753888603021169,0.8718318636928173,0.020104139259634418,1.75,0.0010415750413074716
0.7000000000000001,0.8722675669092126,0.8718318636928173,0.030799130416587973,0.25,0.004090258012050991
0.7000000000000001,0.8726780500207437,0.8718318636928173,0.030799130416587973,0.5,0.004090258012050991
0.7000000000000001,0.8737140567189944,0.8718318636928173,0.030799130416587973,0.75,0.004090258012050991
0.7000000000000001,0.8744309451714353,0.8718318636928173,0.030799130416587973,1.0,0.004090258012050991
0.7000000000000001,0.8745438639389188,0.8718318636928173,0.030799130416587973,1.25,0.004090258012050991
0.7000000000000001,0.8758875785424655,0.8718318636928173,0.030799130416587973,1.5,0.004090258012050991
