Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.8726218870940593,0.7355280528494679,1.6413105994287593,0.25,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280528426908,1.6413105994287593,0.5,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280530364989,1.6413105994287593,0.75,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280528633353,1.6413105994287593,1.0,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280532235948,1.6413105994287593,1.25,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280529138154,1.6413105994287593,1.5,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280527974153,1.6413105994287593,1.75,1.0152590295916353,"Workload(z0=0.008880950469087932, z1=0.16784875689091525, q=0.7641822011961266, w=0.059088091443870255)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7468613442106226,0.7355280528447015,0.5312899093329262,0.25,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7664249929197402,0.7355280530056931,0.5312899093329262,0.5,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7913182135302493,0.7355280528133514,0.5312899093329262,0.75,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8208004941883966,0.7355280528948349,0.5312899093329262,1.0,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8519908184627132,0.7355280529493622,0.5312899093329262,1.25,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280532102514,0.5312899093329262,1.5,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280528250466,0.5312899093329262,1.75,0.01517774025270685,"Workload(z0=0.245386448961591, z1=0.3134310111584017, q=0.24997599474901883, w=0.19120654513098836)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.7479885073345636,0.7355280528835678,0.543084008982424,0.25,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.7666781606132571,0.7355280531670626,0.543084008982424,0.5,0.007125583831046979,"Workload(z0=0.2659451400642183, z1=0.24690147974308596, q=0.28245122694530167, w=0.2047021532473941)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
