Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho Multiplier,Rho (True)
0.05,0.30078646467048537,0.14175908537156465,0.5410658122096426,0.25,0.1450237834361203
0.05,0.2871699619473354,0.14175908537156465,0.37956213271179073,0.5,0.30609213794015655
0.05,0.19221428578432226,0.14175908537156465,0.27228607996312076,0.75,0.1264806671244603
0.05,0.27380200860270854,0.14175908537156465,0.5937073775068278,1.0,0.3860411021286534
0.05,0.24433331448410717,0.14175908537156465,0.42523180751476153,1.25,0.00011266234290834096
0.05,0.3076144356672455,0.14175908537156465,0.49925331529375383,1.5,0.3005212457139225
0.05,0.3133704314027071,0.14175908537156465,0.7631701007144359,1.75,0.3888264527513481
0.1,0.18712481980353374,0.14175908537156465,0.20155836861717125,0.25,0.09123611758892552
0.1,0.17397176012041582,0.14175908537156465,0.2622710676497559,0.5,0.08385582519785792
0.1,0.18205674085527304,0.14175908537156465,0.18651035974671698,0.75,0.04928643164516102
0.1,0.19702048058730354,0.14175908537156465,0.24386403121363037,1.0,0.02189535550903116
0.1,0.19174523882242137,0.14175908537156465,0.22389722502104878,1.25,0.1269815346880742
0.1,0.23763506194443423,0.14175908537156465,0.3083392100061153,1.5,0.10134478033763042
0.1,0.214056617364486,0.14175908537156465,0.2412702670103446,1.75,0.00024604509135107673
0.15000000000000002,0.16784024473273074,0.14175908537156465,0.3398393437720608,0.25,0.019837359782903352
0.15000000000000002,0.17900859325514595,0.14175908537156465,0.3277415137984579,0.5,0.0419415931841173
0.15000000000000002,0.1938491374391986,0.14175908537156465,0.0525842375359785,0.75,0.05538788682098468
0.15000000000000002,0.24019002209863557,0.14175908537156465,0.17338882034502792,1.0,0.06527327012932724
0.15000000000000002,0.30119094051030737,0.14175908537156465,0.19332049262276052,1.25,0.06210443042852838
0.15000000000000002,0.28893581835386645,0.14175908537156465,0.20232763715541863,1.5,0.039490525035310885
0.15000000000000002,0.21334946018774342,0.14175908537156465,0.17862887919625867,1.75,0.02519663833967472
0.2,0.18566797529598045,0.14175908537156465,0.22712510405476338,0.25,0.15618930424485863
0.2,0.2330305884201825,0.14175908537156465,0.08712852559361692,0.5,0.13373770741932264
0.2,0.16223174930960269,0.14175908537156465,0.07016775698660568,0.75,0.058986015337819164
0.2,0.20583298720826607,0.14175908537156465,0.1865351463050873,1.0,0.15346889334776775
0.2,0.1689012944655502,0.14175908537156465,0.0757328532432004,1.25,0.024889382193254574
0.2,0.179172041543429,0.14175908537156465,0.10297012883665127,1.5,0.057114121688743455
0.2,0.20018944811574482,0.14175908537156465,0.13882481675669375,1.75,0.01859026406560443
0.25,0.15838194135381833,0.14175908537156465,0.08774089395462865,0.25,0.003563534747226177
0.25,0.16224915222564315,0.14175908537156465,0.13820723408239424,0.5,0.023557415952467558
0.25,0.1597568722225946,0.14175908537156465,0.049961360559744816,0.75,0.02130821667340711
0.25,0.20186656293187832,0.14175908537156465,0.1940703314316935,1.0,0.006114852173724865
0.25,0.17890152175257723,0.14175908537156465,0.11171034863703705,1.25,0.08611299548765745
0.25,0.26145318320604555,0.14175908537156465,0.08869158891965578,1.5,0.12095701804349566
0.25,0.19927838078280646,0.14175908537156465,0.14016697845219941,1.75,0.0005422705441226342
0.3,0.163212534184962,0.14175908537156465,0.06381117895132099,0.25,0.1000747340201587
0.3,0.18254811213959393,0.14175908537156465,0.06317918572805169,0.5,0.024198636517826305
0.3,0.17083599223584806,0.14175908537156465,0.15894543491811616,0.75,1.1691512716774074e-05
0.3,0.1804523083223198,0.14175908537156465,0.16560694229028797,1.0,3.0279872642112677e-05
0.3,0.24225457807930856,0.14175908537156465,0.1193915410913679,1.25,0.09787205886450712
0.3,0.1761155079677742,0.14175908537156465,0.09092705305878455,1.5,0.03399969591323834
0.3,0.2529939655538071,0.14175908537156465,0.11382089703691518,1.75,0.053781523747024586
0.35000000000000003,0.1939682214827635,0.14175908537156465,0.06379963138762082,0.25,0.05982283803770021
0.35000000000000003,0.15034650843619876,0.14175908537156465,0.045269598261465455,0.5,8.45273477393456e-06
0.35000000000000003,0.2090806672044762,0.14175908537156465,0.10724807285583152,0.75,0.03607576485010293
0.35000000000000003,0.16294253680990645,0.14175908537156465,0.07737613815950621,1.0,0.06625648084578578
0.35000000000000003,0.1556674403510761,0.14175908537156465,0.025932680912069836,1.25,0.022541731288834993
0.35000000000000003,0.20846242152954292,0.14175908537156465,0.1107108889289117,1.5,0.0078030318947202755
0.35000000000000003,0.194427819902388,0.14175908537156465,0.06626023257168637,1.75,0.02844691054534227
0.4,0.17282343412089418,0.14175908537156465,0.06817658550111239,0.25,0.05615761408645745
0.4,0.18629631440965652,0.14175908537156465,0.07526957606776402,0.5,0.03094940326395577
0.4,0.16418759452292475,0.14175908537156465,0.10098253935801202,0.75,0.017257715746690713
0.4,0.16748488732770267,0.14175908537156465,0.0932919812521675,1.0,9.925387355555493e-07
0.4,0.1621529368937684,0.14175908537156465,0.04636476341600083,1.25,0.0356632310831501
0.4,0.2187384189368738,0.14175908537156465,0.13192850660458394,1.5,0.011858791581019767
0.4,0.16723333227379653,0.14175908537156465,0.06446393957034967,1.75,0.03194739446876129
0.45,0.14824066958834975,0.14175908537156465,0.0691540843270102,0.25,0.001422505366385717
0.45,0.159252704550834,0.14175908537156465,0.04166709985274713,0.5,0.004672386429488844
0.45,0.16022514918894928,0.14175908537156465,0.08293604225066577,0.75,0.013008586929075356
0.45,0.16334397774671722,0.14175908537156465,0.07620356232108146,1.0,1.9966941963638443e-07
0.45,0.17691326788711098,0.14175908537156465,0.028879999869615196,1.25,0.04186366516388111
0.45,0.15674183925709492,0.14175908537156465,0.03487222328674279,1.5,0.0018461384469421367
0.45,0.16368722273740655,0.14175908537156465,0.041082252663144136,1.75,0.0003440262666774686
0.5,0.14822485021971954,0.14175908537156465,0.06509659719471259,0.25,0.00955111092625068
0.5,0.15280978173674653,0.14175908537156465,0.06794253288902588,0.5,0.00016048120728108734
0.5,0.15572853512465892,0.14175908537156465,0.06080924188233,0.75,1.746402102722382e-06
0.5,0.16252756006506444,0.14175908537156465,0.07497607485598509,1.0,0.0036420427691078953
0.5,0.19191355391156276,0.14175908537156465,0.05720759358406687,1.25,0.01837427884630233
0.5,0.16881393151127502,0.14175908537156465,0.06700959898185196,1.5,0.0001652649131922122
0.5,0.18452790349636444,0.14175908537156465,0.1035053998076416,1.75,0.0004026171486305064
0.55,0.1457708942264786,0.14175908537156465,0.02944094190340374,0.25,0.00025736386483340935
0.55,0.16957635329541101,0.14175908537156465,0.020217060732499896,0.5,0.028983191773599197
