Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.05,0.5134479526745706,0.5130504584914303,0.0,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.517659772968855,0.5130504585542849,0.1,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5217088253886897,0.51305045848773,0.2,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5320713576287135,0.5130504593067035,0.30000000000000004,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5444038448991461,0.5130504584040008,0.4,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5447873326124597,0.5130504584399695,0.5,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5921882417138571,0.5130504583987313,0.6000000000000001,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.6219554540600228,0.5130504585565661,0.7000000000000001,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.6509027201715953,0.5130504584353108,0.8,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.680528871592664,0.5130504588985901,0.9,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.7073742036225216,0.5130504584707958,1.0,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5530135457484463,0.5130504584164036,1.1,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.7562256785470806,0.5130504584522255,1.2000000000000002,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.7785119793297531,0.513050458406166,1.3,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.7985766807222164,0.5130504584568942,1.4000000000000001,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.8169735080705288,0.5130504584743047,1.5,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.8330202851701108,0.5130504583996393,1.6,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.849324796430874,0.5130504585156426,1.7000000000000002,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.8627696852664037,0.513050458556843,1.8,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.8706255164804537,0.5130504584618695,1.9000000000000001,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.8706255164804538,0.5130504585388705,2.0,0.018565001273038367,"Workload(z0=0.4015703581849903, z1=0.5689800184435484, q=0.021005955127975637, w=0.008443668243485893)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5165566308727492,0.5130504587306314,0.0,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5287374674446647,0.5130504584939716,0.1,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5406116657630741,0.5130504583503566,0.2,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5622872879025194,0.5130504584379615,0.30000000000000004,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5853713158710276,0.5130504589800251,0.4,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.6247706529252259,0.5130504584657114,0.5,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.6604958260558562,0.5130504584323546,0.6000000000000001,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.6973937408735444,0.5130504584436218,0.7000000000000001,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.7321507744294495,0.5130504585324525,0.8,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.7639716401855935,0.5130504584057095,0.9,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.7936121134294672,0.5130504584156877,1.0,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8198988747538554,0.5130504584418941,1.1,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8441649927944375,0.5130504584733995,1.2000000000000002,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8652594624105783,0.5130504584530503,1.3,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804537,0.5130504584598852,1.4000000000000001,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804536,0.5130504584923424,1.5,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804536,0.5130504584451323,1.6,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804536,0.5130504585364929,1.7000000000000002,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804537,0.5130504584980374,1.8,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804537,0.5130504584052958,1.9000000000000001,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.8706255164804537,0.513050458573704,2.0,0.06792126419532468,"Workload(z0=0.3490955006848263, z1=0.5728314586235265, q=0.06451536751979901, w=0.013557673171848241)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5187306994907833,0.5130504584233208,0.0,0.05882956653960263,"Workload(z0=0.4249238859733028, z1=0.48101198324858263, q=0.00871340795524598, w=0.08535072282286855)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5174921541931824,0.5130504585272956,0.1,0.05882956653960263,"Workload(z0=0.4249238859733028, z1=0.48101198324858263, q=0.00871340795524598, w=0.08535072282286855)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5187599633384037,0.5130504584856501,0.2,0.05882956653960263,"Workload(z0=0.4249238859733028, z1=0.48101198324858263, q=0.00871340795524598, w=0.08535072282286855)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5205524723169638,0.51305045855159,0.30000000000000004,0.05882956653960263,"Workload(z0=0.4249238859733028, z1=0.48101198324858263, q=0.00871340795524598, w=0.08535072282286855)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
