Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.05,1.009172531758446,0.7355280527941143,0.0,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8047412649673682,0.7355280531670874,0.1,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7836400924357196,0.7355280531380484,0.2,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7526217203105184,0.7355280531632913,0.30000000000000004,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7506161884792217,0.735528053103027,0.4,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7444186035788085,0.7355280528340131,0.5,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7392404270749058,0.7355280527884392,0.6000000000000001,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7379328351672678,0.7355280530674143,0.7000000000000001,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7368681923630399,0.7355280528312966,0.8,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7361661040879786,0.7355280528687692,0.9,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7356909468347099,0.7355280527957645,1.0,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7355284192390172,0.7355280530760867,1.1,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7356636647614517,0.7355280528263325,1.2000000000000002,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7361091597944399,0.7355280532600574,1.3,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7368731996019321,0.7355280530814716,1.4000000000000001,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7382400298571619,0.7355280527777843,1.5,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7396618526128569,0.7355280532174232,1.6,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,1.3132706746417366,0.7355280529568688,1.7000000000000002,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7441927229313151,0.7355280531289505,1.8,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,1.0057503278983155,0.7355280530091076,1.9000000000000001,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.7507870119918573,0.7355280530599757,2.0,0.8478980081310357,"Workload(z0=np.float64(0.6914176861189805), z1=np.float64(0.105074415084128), q=np.float64(0.009318530153383422), w=np.float64(0.1941893686435082))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7385643372943765,0.7355280528737231,0.0,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7370533684161414,0.7355280527710831,0.1,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7455492158154284,0.7355280528869877,0.2,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7617895267362931,0.7355280529422867,0.30000000000000004,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7810457406918977,0.7355280529917753,0.4,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8055543122305304,0.7355280529928344,0.5,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.828978747492935,0.7355280529266084,0.6000000000000001,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8506047216070575,0.7355280528740394,0.7000000000000001,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8704646513851078,0.7355280529618126,0.8,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280528351684,0.9,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940592,0.7355280531451386,1.0,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.735528052884236,1.1,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280530842697,1.2000000000000002,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280528578595,1.3,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280528409369,1.4000000000000001,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280528986314,1.5,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940591,0.735528052939815,1.6,0.505657605718338,"Workload(z0=np.float64(0.30873191106275544), z1=np.float64(0.489987775241322), q=np.float64(0.1825668530892771), w=np.float64(0.018713460606645433))","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
