Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.05,0.9985954018508834,0.9903885531753579,0.0,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,1.0026344419374744,0.9903885511547594,0.1,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,0.9929272434161585,0.990388552897237,0.2,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,0.9948598555722725,0.9903885530565655,0.30000000000000004,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,0.9967189573125583,0.9903885546897072,0.4,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,0.9978959332567648,0.9903885523040618,0.5,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,0.9990170218423196,0.9903885531942608,0.6000000000000001,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,1.0025440078943,0.990388552007265,0.7000000000000001,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,1.0047003525990204,0.9903885532665785,0.8,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,1.0058524459024099,0.9903885507613572,0.9,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
0.05,1.0087270164802589,0.9903885524546876,1.0,0.098774215902012,"Workload(z0=np.float64(0.007300145009804795), z1=np.float64(0.8590307556733539), q=np.float64(0.007300145009804795), w=np.float64(0.12636895430703643))","Workload(z0=0.01, z1=0.97, q=0.01, w=0.01)"
