Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.8726218870940593,0.7355280533160555,0.25,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280529354437,0.5,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280528826644,0.75,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280529860646,1.0,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280529458709,1.25,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.735528052887552,1.5,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.05,0.8726218870940593,0.7355280529055859,1.75,0.9405201011594416,1.1778489467956048,"Workload(z0=0.033943464112458556, z1=0.033943464112458556, q=0.8981696076626242, w=0.033943464112458556)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.7661012676749344,0.73552805310802,0.25,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8111405601976274,0.7355280528389149,0.5,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280533945441,0.75,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.7355280530704034,1.0,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940593,0.735528052912505,1.25,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.8726218870940595,0.7355280530786292,1.5,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.1,0.872621887094059,0.7355280533499167,1.75,0.8978653960389628,0.0248903103454604,"Workload(z0=0.25337551895554555, z1=0.1767276581075999, q=0.3321442513752273, w=0.23775257156162719)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.7539295976928067,0.7355280529536502,0.25,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.783419670062332,0.7355280528727981,0.5,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.82105175096938,0.7355280528960709,0.75,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8652480538295717,0.7355280528425022,1.0,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8726218870940593,0.7355280530013927,1.25,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8726218870940593,0.735528052880814,1.5,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.15000000000000002,0.8726218870940593,0.7355280532424011,1.75,0.605669976656033,0.020366984676837174,"Workload(z0=0.25323179120175043, z1=0.2426770877276222, q=0.3223009758530983, w=0.18179014521752898)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7407553527579666,0.7355280528541035,0.25,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7481526309869382,0.7355280529904853,0.5,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7580797311497008,0.7355280529455749,0.75,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7716079202050017,0.7355280532175107,1.0,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.7859630804060984,0.7355280528329298,1.25,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.8016727151501176,0.7355280527837759,1.5,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.2,0.8183745192009156,0.7355280530937948,1.75,0.31855537648442345,0.02096557557904547,"Workload(z0=0.23892334473014373, z1=0.33997665809801647, q=0.2210386269900662, w=0.2000613701817736)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7360014369217964,0.7355280528630085,0.25,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7355286494216194,0.7355280529314444,0.5,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7356057479851273,0.7355280528739132,0.75,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7357695570867046,0.7355280529362959,1.0,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.735864111729216,0.7355280529389885,1.25,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7360392513243225,0.7355280529445849,1.5,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.25,0.7364402539329773,0.7355280528260292,1.75,0.03144316695263951,0.008737090466262698,"Workload(z0=0.30977279969540056, z1=0.22676469004726155, q=0.23088547365709522, w=0.23257703660024268)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7355319170219826,0.7355280528914596,0.25,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
0.3,0.7355280617954191,0.7355280530925324,0.5,0.01825096169908523,0.022190094675742553,"Workload(z0=0.2585370524347475, z1=0.2200989594147034, q=0.1889953025254151, w=0.332368685625134)","Workload(z0=0.25, z1=0.25, q=0.25, w=0.25)"
